ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
-0.038,-0.036,1.001,0.002,-0.002,-0.001,0.085,0.450,-0.557,982.55,26.56,288.90
-0.039,-0.036,1.000,0.002,-0.002,-0.000,0.086,0.452,-0.567,982.53,26.56,289.03
-0.038,-0.034,0.999,0.002,-0.002,-0.000,0.085,0.455,-0.562,982.49,26.55,289.41
-0.038,-0.035,0.999,0.002,-0.002,-0.000,0.087,0.451,-0.568,982.52,26.56,289.11
-0.039,-0.036,0.999,0.002,-0.002,-0.001,0.088,0.455,-0.563,982.52,26.55,289.12
-0.039,-0.035,0.999,0.001,-0.002,-0.000,0.084,0.453,-0.565,982.39,26.55,290.26
-0.038,-0.036,1.000,0.001,-0.002,-0.000,0.084,0.453,-0.565,982.53,26.55,289.04
-0.038,-0.035,0.999,0.002,-0.002,-0.000,0.089,0.453,-0.566,982.47,26.55,289.56
-0.039,-0.037,0.999,0.002,-0.002,0.000,0.085,0.458,-0.566,982.49,26.55,289.43
-0.039,-0.035,1.000,0.002,-0.002,-0.000,0.085,0.458,-0.563,982.42,26.55,290.03
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.087,0.460,-0.562,982.48,26.56,289.51
-0.039,-0.035,0.998,0.002,-0.002,-0.000,0.088,0.453,-0.564,982.48,26.55,289.48
-0.038,-0.034,1.000,0.002,-0.002,-0.000,0.087,0.453,-0.562,982.49,26.56,289.41
-0.038,-0.036,1.001,0.002,-0.002,-0.001,0.087,0.453,-0.562,982.51,26.55,289.24
-0.039,-0.036,1.000,0.002,-0.002,-0.000,0.088,0.456,-0.563,982.53,26.55,289.05
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.086,0.452,-0.561,982.45,26.55,289.75
-0.037,-0.035,1.001,0.002,-0.002,-0.000,0.089,0.452,-0.559,982.42,26.55,290.00
-0.039,-0.036,0.999,0.002,-0.002,-0.000,0.087,0.453,-0.558,982.48,26.55,289.50
-0.038,-0.037,0.999,0.002,-0.002,-0.000,0.088,0.455,-0.568,982.51,26.55,289.27
-0.039,-0.036,1.000,0.002,-0.002,-0.000,0.089,0.451,-0.567,982.52,26.55,289.14
-0.039,-0.036,1.000,0.002,-0.002,-0.000,0.089,0.451,-0.567,982.43,26.56,289.92
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.086,0.453,-0.569,982.54,26.55,288.95
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.087,0.453,-0.566,982.53,26.55,289.10
-0.039,-0.036,0.999,0.002,-0.002,-0.000,0.086,0.448,-0.567,982.44,26.55,289.79
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.089,0.452,-0.568,982.43,26.56,289.90
-0.038,-0.035,0.999,0.002,-0.002,-0.000,0.088,0.452,-0.562,982.50,26.55,289.31
-0.038,-0.036,1.000,0.002,-0.002,-0.001,0.090,0.452,-0.559,982.46,26.55,289.67
-0.039,-0.037,0.999,0.002,-0.002,-0.000,0.090,0.452,-0.566,982.43,26.56,289.92
-0.039,-0.036,0.999,0.001,-0.002,0.000,0.090,0.452,-0.566,982.54,26.55,288.96
-0.038,-0.036,1.000,0.002,-0.002,0.000,0.087,0.454,-0.561,982.49,26.55,289.44
-0.039,-0.037,1.000,0.001,-0.002,-0.000,0.085,0.451,-0.562,982.46,26.55,289.64
-0.039,-0.035,1.000,0.002,-0.002,-0.001,0.088,0.451,-0.562,982.51,26.55,289.26
-0.039,-0.035,1.001,0.001,-0.003,-0.001,0.087,0.451,-0.564,982.55,26.55,288.89
-0.038,-0.036,1.001,0.002,-0.002,-0.001,0.085,0.458,-0.565,982.53,26.55,289.10
-0.038,-0.036,0.998,0.002,-0.002,-0.000,0.085,0.455,-0.573,982.45,26.55,289.73
