t,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Alt
2025-08-21 18:14:03.597, 0.072, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -540.1, 189.3, 77.0 ,168.45
2025-08-21 18:14:03.598, 0.073, -0.005, -0.992 ,  0.00, -0.00, 0.00 ,  -544.9, 188.4, 72.0 ,168.24
2025-08-21 18:14:03.599, 0.072, -0.004, -0.987 ,  0.00, -0.00, 0.00 ,  -542.5, 190.0, 73.1 ,168.72
2025-08-21 18:14:03.599, 0.074, -0.003, -0.988 ,  0.00, -0.00, 0.00 ,  -547.7, 190.7, 64.1 ,167.97
2025-08-21 18:14:03.600, 0.072, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -543.8, 188.3, 73.2 ,168.28
2025-08-21 18:14:03.601, 0.071, -0.005, -0.992 ,  0.00, -0.00, 0.00 ,  -544.0, 188.9, 75.3 ,167.90
2025-08-21 18:14:03.601, 0.072, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -548.7, 188.2, 70.4 ,168.17
2025-08-21 18:14:03.610, 0.071, -0.004, -0.986 ,  0.00, -0.00, 0.00 ,  -548.7, 188.2, 70.4 ,168.28
2025-08-21 18:14:03.621, 0.071, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -544.5, 190.8, 77.4 ,168.77
2025-08-21 18:14:03.631, 0.072, -0.004, -0.993 ,  0.00, -0.00, 0.00 ,  -543.5, 191.0, 76.3 ,168.58
2025-08-21 18:14:03.646, 0.074, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -541.5, 190.4, 70.0 ,168.02
2025-08-21 18:14:03.653, 0.072, -0.004, -0.986 ,  0.00, -0.00, 0.00 ,  -541.1, 187.2, 71.1 ,167.64
2025-08-21 18:14:03.665, 0.072, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -541.4, 187.6, 69.4 ,168.17
2025-08-21 18:14:03.676, 0.073, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -541.4, 189.3, 72.1 ,168.46
2025-08-21 18:14:03.687, 0.073, -0.005, -0.988 ,  0.00, -0.00, 0.00 ,  -541.4, 189.3, 72.1 ,168.60
2025-08-21 18:14:03.697, 0.072, -0.003, -0.988 ,  0.00, -0.00, 0.00 ,  -542.5, 189.3, 70.8 ,168.17
2025-08-21 18:14:03.708, 0.072, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -541.4, 190.0, 72.8 ,167.87
2025-08-21 18:14:03.719, 0.073, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -539.7, 191.8, 77.6 ,168.79
2025-08-21 18:14:03.730, 0.073, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -543.3, 190.1, 75.3 ,168.73
2025-08-21 18:14:03.741, 0.072, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -540.3, 190.0, 79.8 ,168.27
2025-08-21 18:14:03.756, 0.071, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -542.9, 192.2, 73.9 ,168.04
2025-08-21 18:14:03.763, 0.073, -0.004, -0.987 ,  0.00, -0.00, 0.00 ,  -542.9, 192.2, 73.9 ,168.91
2025-08-21 18:14:03.775, 0.072, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -539.0, 189.0, 74.6 ,168.86
2025-08-21 18:14:03.785, 0.072, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -536.6, 190.5, 72.2 ,168.55
2025-08-21 18:14:03.796, 0.072, -0.005, -0.992 ,  0.00, -0.00, 0.00 ,  -540.5, 192.4, 70.8 ,168.57
2025-08-21 18:14:03.807, 0.072, -0.005, -0.988 ,  0.00, -0.00, 0.00 ,  -542.9, 189.7, 71.5 ,168.44
2025-08-21 18:14:03.819, 0.073, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -541.4, 194.9, 74.2 ,167.75
2025-08-21 18:14:03.830, 0.073, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -547.1, 191.7, 76.2 ,168.09
2025-08-21 18:14:03.840, 0.072, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -547.1, 191.7, 76.2 ,167.63
2025-08-21 18:14:03.851, 0.073, -0.006, -0.988 ,  0.00, -0.00, 0.00 ,  -541.7, 190.5, 79.1 ,168.43
2025-08-21 18:14:03.866, 0.073, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -540.1, 191.9, 78.3 ,168.17
2025-08-21 18:14:03.873, 0.073, -0.004, -0.988 ,  0.00, -0.00, 0.00 ,  -538.0, 190.0, 74.1 ,168.90
2025-08-21 18:14:03.885, 0.071, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -540.8, 189.7, 76.4 ,168.86
2025-08-21 18:14:03.896, 0.073, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -538.4, 191.1, 78.4 ,168.46
2025-08-21 18:14:03.907, 0.072, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -537.2, 191.9, 77.4 ,169.09
2025-08-21 18:14:03.918, 0.072, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -537.2, 191.9, 77.4 ,168.73
2025-08-21 18:14:03.929, 0.073, -0.003, -0.989 ,  0.00, -0.00, 0.00 ,  -536.3, 188.6, 74.2 ,168.31
2025-08-21 18:14:03.940, 0.073, -0.004, -0.987 ,  0.00, -0.00, 0.00 ,  -537.6, 190.5, 72.0 ,168.11
2025-08-21 18:14:03.951, 0.072, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -541.5, 189.4, 78.1 ,168.95
2025-08-21 18:14:03.961, 0.073, -0.006, -0.991 ,  0.00, -0.00, 0.00 ,  -538.4, 196.8, 73.9 ,168.32
2025-08-21 18:14:03.975, 0.073, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -540.7, 194.7, 70.8 ,167.70
2025-08-21 18:14:03.984, 0.073, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -539.8, 190.8, 65.2 ,168.63
2025-08-21 18:14:03.995, 0.072, -0.002, -0.992 ,  0.00, -0.00, 0.00 ,  -539.8, 190.8, 71.8 ,168.45
2025-08-21 18:14:04.006, 0.073, -0.003, -0.991 ,  0.00, -0.00, 0.00 ,  -543.6, 189.6, 71.8 ,168.10
2025-08-21 18:14:04.017, 0.072, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -543.2, 190.7, 72.2 ,168.40
2025-08-21 18:14:04.027, 0.073, -0.006, -0.989 ,  0.00, -0.00, 0.00 ,  -543.8, 190.3, 70.1 ,167.95
2025-08-21 18:14:04.038, 0.072, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -542.5, 189.1, 70.8 ,168.54
2025-08-21 18:14:04.050, 0.073, -0.003, -0.992 ,  0.00, -0.00, 0.00 ,  -541.7, 190.3, 72.0 ,168.09
