ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
-0.04206,0.03179,1.00072,-0.00025,0.00001,-0.00056,-0.45227,-0.29277,-1.17856,981.98000,27.13000,293.78000
-0.04007,0.03277,1.00072,0.00075,0.00001,-0.00056,-0.45417,-0.28437,-1.14830,981.99000,27.13000,293.71000
-0.03905,0.03176,1.00067,0.00075,0.00001,-0.00056,-0.45417,-0.28437,-1.14830,982.03000,27.13000,293.28000
-0.04008,0.03280,1.00172,-0.00025,0.00001,-0.00056,-0.45786,-0.29823,-1.17273,982.00000,27.13000,293.58000
-0.04106,0.03178,1.00070,-0.00025,-0.00099,-0.00056,-0.46295,-0.29545,-1.15470,982.01000,27.12000,293.47000
-0.04005,0.03274,0.99972,-0.00025,0.00001,-0.00056,-0.45782,-0.30083,-1.16673,981.94000,27.12000,294.08000
-0.03905,0.03176,1.00067,-0.00025,0.00001,-0.00056,-0.46331,-0.29306,-1.17579,982.01000,27.12000,293.53000
-0.04004,0.03076,1.00065,-0.00025,0.00001,-0.00056,-0.44922,-0.29777,-1.15745,981.90000,27.13000,294.40000
-0.04008,0.03280,1.00172,0.00075,0.00001,-0.00056,-0.45177,-0.29243,-1.15440,981.93000,27.13000,294.20000
-0.04005,0.03177,1.00068,-0.00025,0.00001,-0.00056,-0.45177,-0.29243,-1.15440,981.97000,27.12000,293.86000
-0.03906,0.03276,1.00070,-0.00025,0.00001,-0.00056,-0.46049,-0.29558,-1.16973,982.07000,27.12000,293.02000
-0.04005,0.03274,0.99972,0.00075,0.00001,0.00044,-0.44619,-0.28962,-1.15726,981.96000,27.12000,293.88000
-0.04004,0.03173,0.99968,0.00075,0.00001,-0.00056,-0.46312,-0.30083,-1.15478,981.96000,27.12000,293.93000
-0.03905,0.03176,1.00067,0.00075,0.00001,0.00044,-0.45467,-0.29260,-1.16051,981.99000,27.12000,293.69000
-0.04106,0.03375,0.99977,0.00075,0.00001,-0.00056,-0.46556,-0.29016,-1.15467,981.94000,27.12000,294.12000
-0.04005,0.03177,1.00068,-0.00025,0.00001,-0.00056,-0.44889,-0.29491,-1.14532,981.99000,27.12000,293.68000
-0.04007,0.03277,1.00072,-0.00025,0.00001,-0.00056,-0.44889,-0.29491,-1.14532,981.95000,27.12000,294.01000
-0.04109,0.03282,1.00174,0.00075,0.00001,-0.00056,-0.45734,-0.28735,-1.16350,982.01000,27.12000,293.50000
-0.04104,0.03175,0.99970,0.00075,0.00001,-0.00056,-0.46293,-0.29281,-1.15767,982.02000,27.12000,293.43000
-0.04104,0.03175,0.99970,0.00075,0.00001,-0.00056,-0.44640,-0.29239,-1.16334,981.95000,27.12000,294.02000
-0.04005,0.03274,0.99972,-0.00025,0.00001,-0.00056,-0.45502,-0.29810,-1.16965,981.93000,27.13000,294.18000
-0.04007,0.03180,1.00169,0.00075,0.00001,-0.00056,-0.44936,-0.30050,-1.16051,981.97000,27.13000,293.84000
-0.04005,0.03177,1.00068,-0.00025,0.00001,-0.00056,-0.45251,-0.30083,-1.17869,981.99000,27.12000,293.63000
-0.04007,0.03277,1.00072,-0.00025,0.00001,-0.00056,-0.45201,-0.30049,-1.15453,981.91000,27.12000,294.32000
-0.04104,0.03175,0.99970,0.00075,0.00001,-0.00056,-0.45748,-0.29797,-1.15461,981.95000,27.12000,294.04000
-0.03904,0.03172,0.99967,0.00075,0.00001,-0.00056,-0.46012,-0.28743,-1.16357,982.05000,27.12000,293.18000
-0.04104,0.03175,0.99970,0.00075,0.00001,-0.00056,-0.45510,-0.30079,-1.16969,981.94000,27.12000,294.12000
-0.04007,0.03180,1.00169,0.00075,0.00001,-0.00056,-0.45525,-0.30352,-1.17275,982.06000,27.12000,293.04000
-0.04007,0.03180,1.00169,0.00075,0.00001,-0.00056,-0.45769,-0.29285,-1.17265,981.97000,27.12000,293.80000
-0.04209,0.03283,1.00175,-0.00025,0.00001,-0.00056,-0.45243,-0.29815,-1.17865,981.99000,27.12000,293.64000
-0.03907,0.03179,1.00167,-0.00025,0.00001,-0.00056,-0.45208,-0.29264,-1.16950,982.01000,27.12000,293.51000
-0.04106,0.03178,1.00070,-0.00025,0.00001,0.00044,-0.45763,-0.29281,-1.16963,981.99000,27.12000,293.64000
-0.04004,0.03173,0.99968,0.00075,0.00001,0.00044,-0.45753,-0.29537,-1.16061,982.00000,27.12000,293.57000
-0.04104,0.03175,0.99970,-0.00025,0.00001,0.00044,-0.47128,-0.29570,-1.15488,981.99000,27.12000,293.69000
-0.04004,0.03173,0.99968,-0.00025,0.00001,0.00044,-0.45212,-0.29793,-1.16355,981.95000,27.12000,293.99000
-0.04005,0.03177,1.00068,-0.00025,0.00001,-0.00056,-0.45448,-0.29247,-1.15145,982.01000,27.12000,293.54000
-0.04007,0.03180,1.00169,-0.00025,0.00001,-0.00056,-0.45226,-0.30066,-1.16661,982.01000,27.12000,293.48000
-0.04102,0.03171,0.99870,0.00075,0.00001,-0.00056,-0.46533,-0.28474,-1.15157,981.95000,27.12000,294.01000
-0.04005,0.03177,1.00068,0.00075,0.00001,0.00044,-0.46533,-0.28474,-1.15157,982.00000,27.12000,293.62000
-0.04008,0.03378,1.00075,-0.00025,0.00001,-0.00056,-0.46039,-0.29025,-1.17267,981.91000,27.12000,294.34000
-0.04004,0.03076,1.00065,-0.00025,0.00001,-0.00056,-0.44588,-0.28941,-1.14216,982.00000,27.12000,293.61000
-0.04004,0.03173,0.99968,-0.00025,0.00001,-0.00056,-0.44304,-0.28139,-1.15103,981.99000,27.12000,293.66000
-0.04004,0.03173,0.99968,0.00075,0.00001,-0.00056,-0.45755,-0.29012,-1.16958,981.99000,27.13000,293.69000
